time,axial_force,transversal_displacement
0.2280000E+04,-0.2311474E+04,0.4392620E+00
0.2290000E+04,-0.2311804E+04,0.4450170E+00
0.2300000E+04,-0.2311139E+04,0.4450170E+00
0.2310000E+04,-0.2313927E+04,0.4469360E+00
0.2320000E+04,-0.2316908E+04,0.4507780E+00
0.2330000E+04,-0.2319857E+04,0.4546020E+00
0.2340000E+04,-0.2324764E+04,0.4546020E+00
0.2350000E+04,-0.2324749E+04,0.4546020E+00
0.2360000E+04,-0.2325371E+04,0.4641880E+00
0.2370000E+04,-0.2327377E+04,0.4661120E+00
0.2380000E+04,-0.2327407E+04,0.4661120E+00
0.2390000E+04,-0.2328334E+04,0.4699540E+00
0.2400000E+04,-0.2329564E+04,0.4699540E+00
0.2410000E+04,-0.2331533E+04,0.4699540E+00
0.2420000E+04,-0.2335562E+04,0.4757200E+00
0.2430000E+04,-0.2334856E+04,0.4795440E+00
0.2440000E+04,-0.2339697E+04,0.4795440E+00
0.2450000E+04,-0.2340575E+04,0.4795440E+00
0.2460000E+04,-0.2344331E+04,0.4872060E+00
0.2470000E+04,-0.2339212E+04,0.4891300E+00
0.2480000E+04,-0.2343556E+04,0.4910530E+00
0.2490000E+04,-0.2346407E+04,0.4929720E+00
0.2500000E+04,-0.2348055E+04,0.4929720E+00
0.2510000E+04,-0.2350011E+04,0.4957810E+00
0.2520000E+04,-0.2353840E+04,0.5011750E+00
0.2530000E+04,-0.2351388E+04,0.5044810E+00
0.2540000E+04,-0.2353032E+04,0.5044810E+00
0.2550000E+04,-0.2358453E+04,0.5044810E+00
0.2560000E+04,-0.2359515E+04,0.5118810E+00
0.2570000E+04,-0.2364180E+04,0.5121480E+00
0.2580000E+04,-0.2366150E+04,0.5140670E+00
0.2590000E+04,-0.2369182E+04,0.5173930E+00
0.2600000E+04,-0.2378335E+04,0.5198210E+00
0.2610000E+04,-0.2374579E+04,0.5217340E+00
0.2620000E+04,-0.2375988E+04,0.5233850E+00
0.2630000E+04,-0.2377461E+04,0.5274990E+00
0.2640000E+04,-0.2377114E+04,0.5279450E+00
0.2650000E+04,-0.2378462E+04,0.5313230E+00
0.2660000E+04,-0.2382893E+04,0.5390080E+00
0.2670000E+04,-0.2388665E+04,0.5390080E+00
0.2680000E+04,-0.2389551E+04,0.5390080E+00
0.2690000E+04,-0.2396313E+04,0.5428320E+00
0.2700000E+04,-0.2397034E+04,0.5447520E+00
0.2710000E+04,-0.2397668E+04,0.5495140E+00
0.2720000E+04,-0.2399089E+04,0.5505170E+00
0.2730000E+04,-0.2400206E+04,0.5543410E+00
0.2740000E+04,-0.2403973E+04,0.5562640E+00
0.2750000E+04,-0.2402783E+04,0.5571830E+00
0.2760000E+04,-0.2405138E+04,0.5639380E+00
0.2770000E+04,-0.2408956E+04,0.5639380E+00
0.2780000E+04,-0.2411245E+04,0.5639380E+00
0.2790000E+04,-0.2414451E+04,0.5716120E+00
0.2800000E+04,-0.2412188E+04,0.5716120E+00
0.2810000E+04,-0.2416467E+04,0.5716120E+00
0.2820000E+04,-0.2423708E+04,0.5716120E+00
0.2830000E+04,-0.2422045E+04,0.5831210E+00
0.2840000E+04,-0.2427420E+04,0.5831210E+00
0.2850000E+04,-0.2426213E+04,0.5831210E+00
0.2860000E+04,-0.2427372E+04,0.5888790E+00
0.2870000E+04,-0.2432074E+04,0.5888790E+00
0.2880000E+04,-0.2435088E+04,0.5888790E+00
0.2890000E+04,-0.2433155E+04,0.5960280E+00
0.2900000E+04,-0.2437661E+04,0.5983850E+00
0.2910000E+04,-0.2444956E+04,0.5994720E+00
0.2920000E+04,-0.2442942E+04,0.6023000E+00
0.2930000E+04,-0.2445881E+04,0.6042200E+00
0.2940000E+04,-0.2448879E+04,0.6061390E+00
0.2950000E+04,-0.2446548E+04,0.6061390E+00
0.2960000E+04,-0.2454691E+04,0.6138170E+00
0.2970000E+04,-0.2454691E+04,0.6138170E+00
0.2980000E+04,-0.2454691E+04,0.6138170E+00
0.2990000E+04,-0.2454691E+04,0.6138170E+00
0.3000000E+04,-0.2454691E+04,0.6138170E+00
