deslocamento,JFC1,JFC2,JHC1,JHC2,JM1C1,JM1C2,JM2C1,JM2C2,PFC1,PFC2,PHC1,PHC2,PM1C1,PM1C2,PM2C1,PM2C2,expC1,expC2
-0.24933333333333332,-2633.2461060509304,-2747.02614916551,-2656.25022301654,-2839.20738959709,-2635.69943225008,-2903.3602970852503,-2736.04138270603,-2927.71290751895,-2404.72324064061,-2671.5187473460396,-2592.30468342029,-2766.77354036034,-2454.32431774073,-2629.90192480947,-2494.18271834987,-2781.61512158935,,
-0.255,-2601.93317428536,-2717.4024662197303,-2625.45577248378,-2806.39971110752,-2600.6555959827,-2882.3961249942604,-2693.58229475528,-2898.59068990141,-2399.79922828263,-2671.98119024787,-2566.65672615897,-2739.66081024838,-2455.9408734196104,-2647.05413363571,-2484.8301786152,-2776.58624492659,,
-0.2606666666666666,-2571.65943147965,-2685.02807146728,-2596.84933125744,-2772.72112401719,-2566.1139871731502,-2851.27229948139,-2650.9448132132998,-2858.0974330743297,-2394.4896865176997,-2668.98778291767,-2542.7611011196,-2711.72962568745,-2454.50493056502,-2658.3035580633605,-2474.93952022704,-2767.60751966148,,
-0.2663333333333333,-2543.86088177535,-2653.29920509652,-2570.8449272910602,-2740.43358334615,-2533.71637750734,-2814.6579533226,-2611.30482365469,-2812.9197026360102,-2388.98222861918,-2663.3944687396697,-2520.93214439757,-2684.88203700334,-2450.6026961191,-2664.08611685785,-2464.77815128473,-2755.7562501869,,
-0.27199999999999996,-2518.9471034953,-2623.9727345931897,-2547.39897177492,-2710.6412016456197,-2504.1999756772,-2776.4205029948903,-2576.06349630122,-2768.1250478359802,-2383.39880389179,-2655.95053036148,-2501.13152470357,-2660.0128178744103,-2444.76101467255,-2665.0284581408605,-2454.53030041259,-2741.9218461222,,
-0.2776666666666666,-2496.7827799742104,-2597.64707692028,-2526.25717729742,-2683.67572577251,-2477.7086684567103,-2739.2336515169395,-2545.4186144883397,-2726.75546797203,-2377.8170046833498,-2647.26513940985,-2483.1655050242102,-2637.38286135013,-2437.43822133756,-2661.8592519979,-2444.32025362562,-2726.8089558453603,,
-0.2833333333333333,-2477.0140420520897,-2574.26506114851,-2507.1009951965398,-2659.4359622420197,-2454.05712431668,-2704.6297217974698,-2518.92720989732,-2690.1206308872,-2372.2851620625,-2637.80610085135,-2466.79551413316,-2616.9145209992603,-2429.02247744993,-2655.32973581534,-2434.23003975776,-2710.95696887193,,
-0.289,-2459.24824945849,-2553.48230863171,-2489.6215362715197,-2637.6260513307197,-2432.9154446792104,-2673.26260216073,-2495.91495389892,-2658.3532882685,-2366.83259942018,-2627.9167750298802,-2451.79185880797,-2598.3838117738,-2419.83340476989,-2646.13749234193,-2424.31249455929,-2694.76576552089,,
-0.29466666666666663,-2443.1323390642397,-2534.8836536110502,-2473.54945975108,-2617.89676433895,-2413.91996197691,-2645.21156117736,-2475.70902362642,-2630.95704147161,-2361.47644274904,-2617.8398369533497,-2437.95497033382,-2581.52834576529,-2410.12672854681,-2634.89781486338,-2414.60061130366,-2678.52226346321,,
-0.30033333333333334,-2428.3745199035297,-2518.0848126416,-2458.6620749285503,-2599.91612901423,-2396.7300784633603,-2620.2382031411303,-2457.7370763990602,-2607.21055507099,-2356.22606654958,-2607.74112213715,-2425.12044291415,-2566.09955163832,-2400.10151396041,-2622.14622000013,-2405.11412335291,-2662.42489155744,,
-0.306,-2414.7406922293103,-2502.76532700728,-2444.78063702836,-2583.39701085189,-2381.05148858465,-2597.96740419356,-2441.5481311385,-2586.40089371682,-2351.08596256152,-2597.7302043418804,-2413.15675269958,-2551.88299429017,-2389.90881807106,-2608.34137456099,-2395.86403415167,-2646.6047872754502,,
-0.31166666666666665,-2402.04357875921,-2488.66808486722,-2431.76456620451,-2568.10242831817,-2366.64129965362,-2577.9967744626897,-2426.79737238626,-2567.92417270097,-2346.0575731191398,-2587.8767571895,-2401.96054263087,-2538.70265221597,-2379.6605941214702,-2593.86367500216,-2386.85571391754,-2631.14334499043,,
-0.31733333333333336,-2390.13297137728,-2475.58711807742,-2419.5055578544197,-2553.84154149686,-2353.3048990538,-2559.95292462935,-2413.2197706275197,-2551.30725411541,-2341.14047317082,-2578.22287017352,-2391.45138289217,-2526.41823887399,-2369.4381382047,-2579.01572446741,-2378.09097863035,-2616.0862966128398,,
-0.32299999999999995,-2378.88927233917,-2463.3550893118,-2407.92226858803,-2540.4631578395897,-2340.88991411504,-2543.51405469357,-2400.60508277282,-2536.19214546037,-2336.33311191849,-2568.7919572792803,-2381.56684686875,-2514.92013931659,-2359.2999528330897,-2564.0283591409698,-2369.5694589389104,-2601.45463024819,,
-0.32866666666666666,-2368.2197490417802,-2451.83508799047,-2396.9554147894,-2527.84965566439,-2329.2797093941604,-2528.41417433587,-2388.7797282018696,-2522.30785040694,-2331.6332967830604,-2559.59504545677,-2372.25817427976,-2504.12392443164,-2349.28902358504,-2549.07093909345,-2361.28950089499,-2587.25284316199,,
-0.33433333333333326,-2358.05667093129,-2440.9168619995103,-2386.5630090006102,-2515.91200192056,-2318.38714570191,-2514.43902437383,-2377.5974049651604,-2509.44232363924,-2327.03849315833,-2550.63512234173,-2363.48657705933,-2493.96512256724,-2339.4392292759,-2534.26258951582,-2353.24872342409,-2573.47501780605,,
-0.33999999999999997,-2348.3560556533,-2430.51562615518,-2376.7154917888897,-2504.58549085113,-2308.1486060552897,-2501.41939259546,-2366.9376451243897,-2497.42027059401,-2322.54601947792,-2541.91006821549,-2355.2202380344697,-2484.39444904056,-2329.78051531399,-2519.68215138352,-2345.44436569311,-2560.10923684453,,
-0.3456666666666666,-2339.09548345524,-2420.5720336550103,-2367.39108216968,-2493.82553910073,-2298.51817946918,-2489.22446581035,-2356.70950818341,-2486.08894894095,-2318.1531685589102,-2533.41465114443,-2347.43198413064,-2475.37359357543,-2320.34220614687,-2505.3763827522503,-2337.8734681260603,-2547.14069696447,,
-0.3513333333333333,-2330.27007268447,-2411.0516337066,-2358.57174043978,-2483.6030741794,-2289.4620893609303,-2477.75593919079,-2346.85660632281,-2475.31245641761,-2313.85729122879,-2525.14180675673,-2340.09751676655,-2466.87167929798,-2311.15408543362,-2491.36712321808,-2330.5329810393105,-2534.55392189076,,
-0.357,-2321.88600838026,-2401.94212172832,-2350.2402410763502,-2473.8995210712,-2280.95372787421,-2466.94266215656,-2337.35907358917,-2464.97376412537,-2309.65584061462,-2517.08351672144,-2333.19422197334,-2458.86249319797,-2302.24540350479,-2477.65819668457,-2323.41978177282,-2522.33423690684,,
-0.36266666666666664,-2313.9526676688,-2393.24826310796,-2342.3784805094,-2464.7018458216503,-2272.9696091172896,-2456.73531029816,-2328.22879726863,-2454.98218990161,-2305.54639544756,-2509.2313414139003,-2326.70036343668,-2451.32248401185,-2293.64262726406,-2464.24302087323,-2316.53067688219,-2510.46873409417,,
-0.3683333333333333,-2306.47622450363,-2384.9844562835397,-2334.96689580686,-2455.99832228342,-2265.4866413639998,-2447.10079804448,-2319.49713290195,-2445.2826187414603,-2301.5266943738,-2501.576781697,-2320.59466514463,-2444.22944258215,-2285.36703202846,-2451.11337415102,-2309.8623821710503,-2498.94681910182,,
-0.374,-2299.4559051174697,-2377.1660825052104,-2327.98455128007,-2447.77561184947,-2258.48065041744,-2438.01655840297,-2311.1988304154997,-2435.86152940996,-2297.59461948453,-2494.11149987074,-2314.85607577821,-2437.5617188020897,-2277.43312905328,-2438.26892725487,-2303.41149830429,-2487.76038189632,,
-0.3796666666666666,-2292.88230575137,-2369.8028335190897,-2321.40955389015,-2440.0173842642303,-2251.9259910579603,-2429.46519973824,-2303.35834645163,-2426.74424925258,-2293.74821698485,-2486.82745734873,-2309.46373559648,-2431.29784729722,-2269.8482618602397,-2425.7256400196497,-2297.17448382783,-2476.90371064588,,
-0.3853333333333333,-2286.73754115882,-2362.89558919033,-2315.21957344526,-2432.70429101623,-2245.7958547006197,-2421.4301848925,-2295.98305196405,-2417.98083517073,-2289.9856961829896,-2479.71699797492,-2304.3971449704604,-2425.4164230009,-2262.6132757253,-2413.51955484119,-2291.14765097732,-2466.37312791891,,
-0.391,-2280.99784928663,-2356.43571397269,-2309.39237891367,-2425.8147428550196,-2240.0628935734803,-2413.8929953447896,-2289.0635612932,-2409.62502590917,-2286.30540916763,-2472.77288332912,-2299.6364695277,-2419.89610493339,-2255.72375959121,-2401.70308261393,-2285.3271554019,-2456.16649055316,,
-0.3966666666666666,-2275.63789255845,-2350.40551058488,-2303.9062832520603,-2419.3259275738897,-2234.69991187308,-2406.83189073349,-2282.57811413147,-2401.71580835227,-2282.70586576162,-2465.98833878882,-2295.16283157546,-2414.7156846394396,-2249.17147868523,-2390.3340896150103,-2279.70900698129,-2446.2825889546803,,
-0.4023333333333333,-2270.63364402722,-2344.78042589807,-2298.74036634172,-2413.21469856864,-2229.68045354952,-2400.22197891232,-2276.4975893013398,-2394.2688092173103,-2279.18570129668,-2459.35703947091,-2290.95854115549,-2409.85425866444,-2242.94569387661,-2379.46260434263,-2274.28907592815,-2436.7205131928304,,
-0.4079999999999999,-2265.96286244381,-2339.53329007411,-2293.87453401328,-2407.4582458844397,-2224.9792098838802,-2394.03611041767,-2270.7895357716297,-2387.2777058483102,-2275.74369418762,-2452.8731350860503,-2287.00718893434,-2405.2915418777698,-2237.03424088795,-2369.12123409916,-2269.06312043117,-2427.47910782399,,
-0.4136666666666666,-2261.6041347255,-2334.6381407092604,-2289.28938812611,-2402.0345762070497,-2220.57231471835,-2388.2460788713697,-2265.4210329576104,-2380.7210084952303,-2272.37873337031,-2446.5312403579396,-2283.2936629933397,-2401.00824568705,-2231.4242904451103,-2359.32221612976,-2264.02680669399,-2418.55654375169,,
-0.41933333333333334,-2257.53666354679,-2330.07166967605,-2284.9662058518397,-2396.92282710434,-2216.43752366689,-2382.82375207887,-2260.36088917394,-2374.5692722059603,-2269.0898256602104,-2440.32642557578,-2279.80410160234,-2396.98637794998,-2226.10289175637,-2350.06006653739,-2259.17572479848,-2409.9500053451197,,
-0.425,-2253.74149037592,-2325.81235170748,-2280.88715382588,-2392.1033832050603,-2212.55435731617,-2377.74192428019,-2255.58108110967,-2368.79012203426,-2265.87606959599,-2434.25421147717,-2276.52575956436,-2393.20937479756,-2221.05731003115,-2341.31678498707,-2254.5054327510898,-2401.65557200465,,
